movie_director,movie_duration,movie_gender,movie_rating,movie_sumary,movie_title,movie_year
['John Whitesell'],['\n                        1h 43min\n                    '],"['Comedy', 'Romance']",['6.1'],"[""\n                    Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.\n            ""]",['Holidate\xa0'],['2020']
['Jason Woliner'],['\n                        1h 35min\n                    '],"['Adventure', 'Comedy']",['6.8'],['\n                    Follow-up film to the 2006 comedy centering on the real-life adventures of a fictional Kazakh television journalist named Borat.\n            '],['Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan\xa0'],['2020']
['Kenny Ortega'],['\n                        1h 36min\n                    '],"['Comedy', 'Family', 'Fantasy']",['6.9'],"['\n                    A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.\n            ']",['Hocus Pocus\xa0'],['1993']
['Robert Zemeckis'],['\n                        1h 46min\n                    '],"['Adventure', 'Comedy', 'Family']",['5.4'],['\n                    A young boy and his grandmother have a run-in with a coven of witches and their leader.\n            '],['The Witches\xa0'],['2020']
['Remi Weekes'],['\n                        1h 33min\n                    '],"['Drama', 'Horror', 'Thriller']",['6.4'],"['\n                    A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.\n            ']",['His House\xa0'],['2020']
['Ben Wheatley'],['\n                        2h 1min\n                    '],"['Drama', 'Mystery', 'Romance']",['6.0'],"[""\n                    A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.\n            ""]",['Rebecca\xa0'],['2020']
['Aaron Sorkin'],['\n                        2h 9min\n                    '],"['Drama', 'History', 'Thriller']",['7.9'],"['\n                    The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.\n            ']",['The Trial of the Chicago 7\xa0'],['2020']
['Eli Roth'],['\n                        1h 39min\n                    '],"['Drama', 'Thriller']",['4.9'],"['\n                    A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.\n            ']",['Seducción fatal\xa0'],['2015']
['Steven Brill'],['\n                        1h 42min\n                    '],"['Comedy', 'Fantasy', 'Mystery']",['5.2'],"[""\n                    Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and it's up to Hubie to save Halloween.\n            ""]",['Hubie Halloween\xa0'],['2020']
['John Carpenter'],['\n                        1h 31min\n                    '],"['Horror', 'Thriller']",['7.8'],"['\n                    Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.\n            ']",['Halloween\xa0'],['1978']
['Roger Kumble'],['\n                        1h 45min\n                    '],"['Drama', 'Romance']",['5.1'],"['\n                    Based on the 2014 romance novel of the same name, this follows the love life of two young adults.\n            ']",['After We Collided\xa0'],['2020']
['Olivier Marchal'],['\n                        1h 56min\n                    '],"['Action', 'Crime', 'Drama']",['6.1'],"[""\n                    Caught in the cross hairs of police corruption and Marseille's warring gangs, a loyal cop must protect his squad by taking matters into his own hands.\n            ""]",['Bronx\xa0'],['2020']
['Christopher Nolan'],['\n                        2h 30min\n                    '],"['Action', 'Sci-Fi']",['7.8'],"['\n                    Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.\n            ']",['Tenet\xa0'],['2020']
['David Gordon Green'],[],"['Horror', 'Thriller']",[],['\n                    The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.bnn\n            '],['Halloween Kills\xa0'],['2021']
['Adam Mason'],[],"['Comedy', 'Drama', 'Romance']",[],"['\n                    In 2022 a pandemic ravages the world and its cities. Centering on a handful of people as they navigate the obstacles currently hindering society: disease, martial law, quarantine, and vigilantes.\n            ']",['Songbird\xa0            '],[]
['Michael Matthews'],['\n                        1h 49min\n                    '],"['Action', 'Adventure', 'Comedy']",['7.0'],"['\n                    In a monster-infested world, Joel learns his girlfriend is just 80 miles away. To make the dangerous journey, Joel discovers his inner hero to be with the girl of his dreams.\n            ']",['Monster Problems\xa0'],['2020']
['Nicolas Roeg'],['\n                        1h 31min\n                    '],"['Adventure', 'Comedy', 'Family']",['6.9'],"['\n                    A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse.\n            ']",['The Witches\xa0'],['1990']
['Zoe Lister-Jones'],['\n                        1h 37min\n                    '],"['Drama', 'Fantasy', 'Horror']",['4.2'],"['\n                    A group of high school students form a coven of witches. A sequel to the 1996 film, ""The Craft"".\n            ']",['The Craft: Legacy\xa0'],['2020']
['Thomas Bezucha'],['\n                        1h 53min\n                    '],"['Crime', 'Drama', 'Thriller']",['7.3'],"['\n                    A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.\n            ']",['Let Him Go\xa0'],['2020']
