uid,movie_title,movie_director,movie_sumary,movie_rating,movie_gender,movie_duration,movie_year,movie_host_uid
1,Holidate,John Whitesell,"Fed up with being single on holidays, two strangers agree to be each others platonic plus-ones all year long, only to catch real feelings along the way.",6.1,"Comedy, Romance",1h 43min,2020,imdb
2,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Jason Woliner,Follow-up film to the 2006 comedy centering on the real-life adventures of a fictional Kazakh television journalist named Borat.,6.8,"Adventure, Comedy",1h 35min,2020,imdb
3,Hocus Pocus,Kenny Ortega,"A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",6.9,"Comedy, Family, Fantasy",1h 36min,1993,imdb
4,The Witches,Robert Zemeckis,A young boy and his grandmother have a run-in with a coven of witches and their leader.,5.4,"Adventure, Comedy, Family",1h 46min,2020,imdb
5,His House,Remi Weekes,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",6.4,"Drama, Horror, Thriller",1h 33min,2020,imdb
6,Rebecca,Ben Wheatley,"A young newlywed arrives at her husbands imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.",6.0,"Drama, Mystery, Romance",2h 1min,2020,imdb
7,The Trial of the Chicago 7,Aaron Sorkin,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",7.9,"Drama, History, Thriller",2h 9min,2020,imdb
8,Seducción fatal,Eli Roth,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",4.9,"Drama, Thriller",1h 39min,2015,imdb
9,Hubie Halloween,Steven Brill,"Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and its up to Hubie to save Halloween.",5.2,"Comedy, Fantasy, Mystery",1h 42min,2020,imdb
10,Halloween,John Carpenter,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",7.8,"Horror, Thriller",1h 31min,1978,imdb
11,After We Collided,Roger Kumble,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",5.1,"Drama, Romance",1h 45min,2020,imdb
12,Bronx,Olivier Marchal,"Caught in the cross hairs of police corruption and Marseilles warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",6.1,"Action, Crime, Drama",1h 56min,2020,imdb
13,Tenet,Christopher Nolan,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",7.8,"Action, Sci-Fi",2h 30min,2020,imdb
14,Halloween Kills,David Gordon Green,The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.bnn,NC,"Horror, Thriller",NC,2021,imdb
15,Songbird            ,Adam Mason,"In 2022 a pandemic ravages the world and its cities. Centering on a handful of people as they navigate the obstacles currently hindering society: disease, martial law, quarantine, and vigilantes.",NC,"Comedy, Drama, Romance",NC,,imdb
16,Monster Problems,Michael Matthews,"In a monster-infested world, Joel learns his girlfriend is just 80 miles away. To make the dangerous journey, Joel discovers his inner hero to be with the girl of his dreams.",7.0,"Action, Adventure, Comedy",1h 49min,2020,imdb
17,The Witches,Nicolas Roeg,"A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse.",6.9,"Adventure, Comedy, Family",1h 31min,1990,imdb
18,The Craft: Legacy,Zoe Lister-Jones,"A group of high school students form a coven of witches. A sequel to the 1996 film, The Craft.",4.2,"Drama, Fantasy, Horror",1h 37min,2020,imdb
19,Let Him Go,Thomas Bezucha,"A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.",7.3,"Crime, Drama, Thriller",1h 53min,2020,imdb
20,Operation Christmas Drop,Martin Wood,"Congressional aide Erica (Graham) forgoes family Christmas to travel at her bosss behest. At a beachside Air Force base, she clashes with Capt. Andrew Jantz (Ludwig), who knows her assignment is finding reasons to defund the facility.",6.0,"Comedy, Family, Romance",1h 35min,2020,imdb
21,The Untouchables,Brian De Palma,"During the era of Prohibition in the United States, Federal Agent ,  sets out to stop ruthless Chicago gangster ,  and, because of rampant corruption, assembles a small, hand-picked team to help him.",7.9,"Crime, Drama, Thriller",1h 59min,1987,imdb
22,Halloween,David Gordon Green,"Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",6.5,"Crime, Horror, Thriller",1h 46min,2018,imdb
23,The Rocky Horror Picture Show,Jim Sharman,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,7.4,"Comedy, Musical",1h 40min,1975,imdb
24,El extraño mundo de Jack,Henry Selick,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",8.0,"Animation, Family, Fantasy",1h 16min,1993,imdb
25,Come Play,Jacob Chase,A monster named Larry manifests itself through smart phones and mobile devices. Feature film version of the 2017 short film.,5.8,"Drama, Horror, Mystery",1h 36min,2020,imdb
26,Over the Moon,"Glen Keane', 'John Kahrs","In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",6.6,"Animation, Adventure, Comedy",1h 35min,2020,imdb
27,Possessor,Brandon Cronenberg,Possessor follows an agent who works for a secretive organization that uses brain-implant technology to inhabit other peoples bodies - ultimately driving them to commit assassinations for high-paying clients.,6.5,"Horror, Sci-Fi, Thriller",1h 43min,2020,imdb
28,Enola Holmes,Harry Bradbeer,"When Enola Holmes-Sherlocks teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.",6.6,"Adventure, Crime, Drama",2h 3min,2020,imdb
29,El hombre invisible,Leigh Whannell,"When Cecilias abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1,"Drama, Horror, Mystery",2h 4min,2020,imdb
30,Dr. No,Terence Young,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,7.2,"Action, Adventure, Thriller",1h 50min,1962,imdb
31,El diablo a todas horas,Antonio Campos,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,7.1,"Crime, Drama, Thriller",2h 18min,2020,imdb
32,The Addams Family,Barry Sonnenfeld,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,6.9,"Comedy, Fantasy",1h 39min,1991,imdb
33,The Rock,Michael Bay,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",7.4,"Action, Adventure, Thriller",2h 16min,1996,imdb
